feature,dtype,n_missing,mean
income,float64,0,136.79147440752132
debt_to_income_ratio,float64,5553702,
combined_loan_to_value_ratio,float64,0,74.17759779733757
loan_amount,int64,0,260073.84443745812
property_value,float64,0,464279.4373914913
loan_term,float64,0,319.8616105077298
loan_type_2,int64,0,0.1301654283935292
loan_type_3,int64,0,0.07357848872697886
loan_type_4,int64,0,0.005436193731676637
loan_purpose_2,int64,0,0.11622373688757517
loan_purpose_31,int64,0,0.11184989759983521
loan_purpose_32,int64,0,0.1369626962339715
loan_purpose_4,int64,0,0.12938504802742387
loan_purpose_5,int64,0,0.00036750261357199217
lien_status_2,int64,0,0.2685866112369731
occupancy_type_2,int64,0,0.019941293213067608
occupancy_type_3,int64,0,0.07912091790304918
total_units_2.0,int64,0,0.01894358033614335
total_units_3.0,int64,0,0.004220788223782983
total_units_4.0,int64,0,0.0029311979648890055
total_units_Missing,int64,0,0.00422420936521261
construction_method_2,int64,0,0.060562306007776436
negative_amortization_1111,int64,0,0.0312040509195488
negative_amortization_2,int64,0,0.9670302799826134
interest_only_payment_1111,int64,0,0.0312040509195488
interest_only_payment_2,int64,0,0.8392263394759027
balloon_payment_1111,int64,0,0.0312040509195488
balloon_payment_2,int64,0,0.9264838120590554
other_nonamortizing_features_1111,int64,0,0.0312040509195488
other_nonamortizing_features_2,int64,0,0.9662752880871174
